date,finland_total,finland_new,sweden_total,sweden_new
2020-02-01,1,0,1,1
2020-02-02,1,0,1,0
2020-02-03,1,0,1,0
2020-02-04,1,0,1,0
2020-02-05,1,0,1,0
2020-02-06,1,0,1,0
2020-02-07,1,0,1,0
2020-02-08,1,0,1,0
2020-02-09,1,0,1,0
2020-02-10,1,0,1,0
2020-02-11,2,1,1,0
2020-02-12,2,0,1,0
2020-02-13,2,0,1,0
2020-02-14,2,0,1,0
2020-02-15,2,0,1,0
2020-02-16,2,0,1,0
2020-02-17,2,0,1,0
2020-02-18,2,0,1,0
2020-02-19,2,0,1,0
2020-02-20,2,0,1,0
2020-02-21,2,0,1,0
2020-02-22,2,0,1,0
2020-02-23,3,1,1,0
2020-02-24,3,0,1,0
2020-02-25,3,0,1,0
2020-02-26,4,1,2,1
2020-02-27,4,0,3,1
2020-02-28,5,1,11,8
2020-02-29,8,3,14,3
2020-03-01,9,1,14,0
2020-03-02,10,1,19,5
2020-03-03,10,0,32,13
2020-03-04,14,4,62,30
2020-03-05,20,6,87,25
2020-03-06,21,1,146,59
2020-03-07,28,7,179,33
2020-03-08,35,7,225,46
2020-03-09,44,9,326,101
2020-03-10,61,17,424,98
2020-03-11,115,54,620,196
2020-03-12,191,76,771,151
2020-03-13,251,60,923,152
2020-03-14,279,28,994,71
2020-03-15,308,29,1063,69
2020-03-16,361,53,1146,83
2020-03-17,413,52,1265,119
2020-03-18,460,47,1410,145
2020-03-19,550,90,1553,143
2020-03-20,649,99,1733,180
2020-03-21,736,87,1868,135
2020-03-22,823,87,1986,118
2020-03-23,901,78,2168,182
2020-03-24,985,84,2398,230
2020-03-25,1084,99,2712,314
2020-03-26,1188,104,2998,286
2020-03-27,1301,113,3363,365
2020-03-28,1396,95,3663,300
2020-03-29,1473,77,3943,280
2020-03-30,1543,70,4359,416
2020-03-31,1672,129,4834,475
2020-04-01,1797,125,5320,486
2020-04-02,1946,149,5874,554
2020-04-03,2107,161,6475,601
2020-04-04,2306,199,6832,357
2020-04-05,2387,81,7172,340
2020-04-06,2509,122,7561,389
2020-04-07,2718,209,8299,738
2020-04-08,2918,200,8954,655
2020-04-09,3056,138,9599,645
2020-04-10,3214,158,10053,454
2020-04-11,3285,71,10448,395
2020-04-12,3360,75,10912,464
2020-04-13,3440,80,11349,437
2020-04-14,3557,117,11828,479
2020-04-15,3732,175,12432,604
2020-04-16,3862,130,13055,623
2020-04-17,3982,120,13743,688
2020-04-18,4107,125,14275,532
2020-04-19,4163,56,14663,388
2020-04-20,4230,67,15124,461
2020-04-21,4373,143,15831,707
2020-04-22,4485,112,16553,722
2020-04-23,4609,124,17311,758
2020-04-24,4725,116,18090,779
2020-04-25,4817,92,18563,473
2020-04-26,4893,76,18863,300
2020-04-27,4966,73,19426,563
2020-04-28,5089,123,20168,742
2020-04-29,5228,139,20966,798
2020-04-30,5336,108,21601,635
2020-05-01,5422,86,22133,532
2020-05-02,5470,48,22432,299
2020-05-03,5528,58,22693,261
2020-05-04,5589,61,23169,476
2020-05-05,5722,133,23826,657
2020-05-06,5847,125,24572,746
2020-05-07,5942,95,25359,787
2020-05-08,6050,108,26059,700
2020-05-09,6131,81,26568,509
2020-05-10,6178,47,26846,278
2020-05-11,6206,28,27301,455
2020-05-12,6298,92,28055,754
2020-05-13,6365,67,28755,700
2020-05-14,6443,78,29415,660
2020-05-15,6493,50,30103,688
2020-05-16,6548,55,30461,358
2020-05-17,6573,25,30720,259
2020-05-18,6602,29,31151,431
2020-05-19,6647,45,31818,667
2020-05-20,6688,41,32626,808
2020-05-21,6731,43,33236,610
2020-05-22,6753,22,33768,532
2020-05-23,6785,32,34171,403
2020-05-24,6803,18,34381,210
2020-05-25,6823,20,34871,490
2020-05-26,6868,45,35617,746
2020-05-27,6901,33,36417,800
2020-05-28,6913,12,37191,774
2020-05-29,6943,30,37964,773
2020-05-30,6964,21,38396,432
2020-05-31,6974,10,38661,265
2020-06-01,6986,12,39309,648
2020-06-02,7003,17,40210,901
2020-06-03,7018,15,41256,1046
2020-06-04,7043,25,42295,1039
2020-06-05,7055,12,43441,1146
2020-06-06,7068,13,44224,783
2020-06-07,7081,13,44686,462
2020-06-08,7085,4,45363,677
2020-06-09,7095,10,46299,936
2020-06-10,7103,8,47736,1437
2020-06-11,7110,7,49030,1294
2020-06-12,7119,9,50367,1337
2020-06-13,7132,13,51409,1042
2020-06-14,7134,2,51827,418
2020-06-15,7139,5,52511,684
2020-06-16,7155,16,53729,1218
2020-06-17,7163,8,55186,1457
2020-06-18,7167,4,56682,1496
2020-06-19,7175,8,57895,1213
2020-06-20,7175,0,58597,702
2020-06-21,7177,2,58918,321
2020-06-22,7190,13,59718,800
2020-06-23,7195,5,61030,1312
2020-06-24,7200,5,62728,1698
2020-06-25,7217,17,64009,1281
2020-06-26,7231,14,65212,1203
2020-06-27,7234,3,65972,760
